month,term,value,category,monthNum
2015-01-01T05:00Z,Addiction,71.82,mental health,1420088400000
2015-02-01T05:00Z,Addiction,47.67,mental health,1422766800000
2015-03-01T05:00Z,Addiction,82.47,mental health,1425186000000
2015-04-01T04:00Z,Addiction,70.44,mental health,1427860800000
2015-05-01T04:00Z,Addiction,68.13,mental health,1430452800000
2015-06-01T04:00Z,Addiction,75.94,mental health,1433131200000
2015-07-01T04:00Z,Addiction,94.9,mental health,1435723200000
2015-08-01T04:00Z,Addiction,55.22,mental health,1438401600000
2015-09-01T04:00Z,Addiction,73.72,mental health,1441080000000
2015-10-01T04:00Z,Addiction,68.13,mental health,1443672000000
2015-11-01T04:00Z,Addiction,89.64,mental health,1446350400000
2015-12-01T05:00Z,Addiction,50.77,mental health,1448946000000
2016-01-01T05:00Z,Addiction,55.84,mental health,1451624400000
2016-02-01T05:00Z,Addiction,93.09,mental health,1454302800000
2016-03-01T05:00Z,Addiction,96.17,mental health,1456808400000
2016-04-01T04:00Z,Addiction,86.75,mental health,1459483200000
2016-05-01T04:00Z,Addiction,67.31,mental health,1462075200000
2016-06-01T04:00Z,Addiction,55.8,mental health,1464753600000
2016-07-01T04:00Z,Addiction,61.74,mental health,1467345600000
2016-08-01T04:00Z,Addiction,47.48,mental health,1470024000000
2016-09-01T04:00Z,Addiction,52.51,mental health,1472702400000
2016-10-01T04:00Z,Addiction,64.24,mental health,1475294400000
2016-11-01T04:00Z,Addiction,86.95,mental health,1477972800000
2016-12-01T05:00Z,Addiction,60.6,mental health,1480568400000
2017-01-01T05:00Z,Addiction,100,mental health,1483246800000
2017-02-01T05:00Z,Addiction,63.3,mental health,1485925200000
2017-03-01T05:00Z,Addiction,53.29,mental health,1488344400000
2017-04-01T04:00Z,Addiction,62.52,mental health,1491019200000
2017-05-01T04:00Z,Addiction,88.66,mental health,1493611200000
2017-06-01T04:00Z,Addiction,70.1,mental health,1496289600000
2017-07-01T04:00Z,Addiction,83.07,mental health,1498881600000
2017-08-01T04:00Z,Addiction,82.9,mental health,1501560000000
2017-09-01T04:00Z,Addiction,65.3,mental health,1504238400000
2017-10-01T04:00Z,Addiction,64.13,mental health,1506830400000
2017-11-01T04:00Z,Addiction,46.01,mental health,1509508800000
2017-12-01T05:00Z,Addiction,57.89,mental health,1512104400000
2018-01-01T05:00Z,Addiction,73.97,mental health,1514782800000
2018-02-01T05:00Z,Addiction,79.48,mental health,1517461200000
2018-03-01T05:00Z,Addiction,65.41,mental health,1519880400000
2018-04-01T04:00Z,Addiction,60.32,mental health,1522555200000
2018-05-01T04:00Z,Addiction,68.57,mental health,1525147200000
2018-06-01T04:00Z,Addiction,73.13,mental health,1527825600000
2018-07-01T04:00Z,Addiction,82.72,mental health,1530417600000
2018-08-01T04:00Z,Addiction,88.19,mental health,1533096000000
2018-09-01T04:00Z,Addiction,51.04,mental health,1535774400000
2018-10-01T04:00Z,Addiction,56.16,mental health,1538366400000
2018-11-01T04:00Z,Addiction,71.51,mental health,1541044800000
2018-12-01T05:00Z,Addiction,58.31,mental health,1543640400000
2019-01-01T05:00Z,Addiction,71.08,mental health,1546318800000
2019-02-01T05:00Z,Addiction,89.68,mental health,1548997200000
2019-03-01T05:00Z,Addiction,80.55,mental health,1551416400000
2019-04-01T04:00Z,Addiction,75.41,mental health,1554091200000
2019-05-01T04:00Z,Addiction,77.29,mental health,1556683200000
2019-06-01T04:00Z,Addiction,65.12,mental health,1559361600000
2019-07-01T04:00Z,Addiction,68.36,mental health,1561953600000
2019-08-01T04:00Z,Addiction,72.93,mental health,1564632000000
2019-09-01T04:00Z,Addiction,69.42,mental health,1567310400000
2019-10-01T04:00Z,Addiction,68.24,mental health,1569902400000
2019-11-01T04:00Z,Addiction,85.57,mental health,1572580800000
2019-12-01T05:00Z,Addiction,60.76,mental health,1575176400000
2020-01-01T05:00Z,Addiction,50.27,mental health,1577854800000
2020-02-01T05:00Z,Addiction,56.12,mental health,1580533200000
2020-03-01T05:00Z,Addiction,47.9,mental health,1583038800000
2020-04-01T04:00Z,Addiction,59.31,mental health,1585713600000
2020-05-01T04:00Z,Addiction,72.45,mental health,1588305600000
2020-06-01T04:00Z,Addiction,78.41,mental health,1590984000000
2020-07-01T04:00Z,Addiction,58.33,mental health,1593576000000
2020-08-01T04:00Z,Addiction,56.91,mental health,1596254400000
2020-09-01T04:00Z,Addiction,69.71,mental health,1598932800000
