month,term,value
2015-01-01,Addiction,11.29
2015-02-01,Addiction,7.49
2015-03-01,Addiction,12.96
2015-04-01,Addiction,11.07
2015-05-01,Addiction,10.71
2015-06-01,Addiction,11.93
2015-07-01,Addiction,14.91
2015-08-01,Addiction,8.68
2015-09-01,Addiction,11.58
2015-10-01,Addiction,10.71
2015-11-01,Addiction,14.09
2015-12-01,Addiction,7.98
2016-01-01,Addiction,8.78
2016-02-01,Addiction,14.63
2016-03-01,Addiction,15.11
2016-04-01,Addiction,13.63
2016-05-01,Addiction,10.58
2016-06-01,Addiction,8.77
2016-07-01,Addiction,9.7
2016-08-01,Addiction,7.46
2016-09-01,Addiction,8.25
2016-10-01,Addiction,10.1
2016-11-01,Addiction,13.66
2016-12-01,Addiction,9.52
2017-01-01,Addiction,15.71
2017-02-01,Addiction,9.95
2017-03-01,Addiction,8.37
2017-04-01,Addiction,9.83
2017-05-01,Addiction,13.93
2017-06-01,Addiction,11.02
2017-07-01,Addiction,13.05
2017-08-01,Addiction,13.03
2017-09-01,Addiction,10.26
2017-10-01,Addiction,10.08
2017-11-01,Addiction,7.23
2017-12-01,Addiction,9.1
2018-01-01,Addiction,11.62
2018-02-01,Addiction,12.49
2018-03-01,Addiction,10.28
2018-04-01,Addiction,9.48
2018-05-01,Addiction,10.77
2018-06-01,Addiction,11.49
2018-07-01,Addiction,13.0
2018-08-01,Addiction,13.86
2018-09-01,Addiction,8.02
2018-10-01,Addiction,8.83
2018-11-01,Addiction,11.24
2018-12-01,Addiction,9.16
2019-01-01,Addiction,11.17
2019-02-01,Addiction,14.09
2019-03-01,Addiction,12.66
2019-04-01,Addiction,11.85
2019-05-01,Addiction,12.15
2019-06-01,Addiction,10.23
2019-07-01,Addiction,10.74
2019-08-01,Addiction,11.46
2019-09-01,Addiction,10.91
2019-10-01,Addiction,10.72
2019-11-01,Addiction,13.45
2019-12-01,Addiction,9.55
2020-01-01,Addiction,7.9
2020-02-01,Addiction,8.82
2020-03-01,Addiction,7.53
2020-04-01,Addiction,9.32
2020-05-01,Addiction,11.39
2020-06-01,Addiction,12.32
2020-07-01,Addiction,9.17
2020-08-01,Addiction,8.94
2020-09-01,Addiction,10.95
2020-10-01,Addiction,7.41
2020-11-01,Addiction,9.26
2020-12-01,Addiction,8.15
2021-01-01,Addiction,7.48
2021-02-01,Addiction,9.26
2021-03-01,Addiction,7.92
2021-04-01,Addiction,9.82
2021-05-01,Addiction,0.0
2015-01-01,ADHD,4.65
2015-02-01,ADHD,3.57
2015-03-01,ADHD,4.54
2015-04-01,ADHD,6.04
2015-05-01,ADHD,4.54
2015-06-01,ADHD,3.31
2015-07-01,ADHD,4.86
2015-08-01,ADHD,2.89
2015-09-01,ADHD,5.95
2015-10-01,ADHD,4.76
2015-11-01,ADHD,5.51
2015-12-01,ADHD,6.44
2016-01-01,ADHD,4.7
2016-02-01,ADHD,4.88
2016-03-01,ADHD,5.55
2016-04-01,ADHD,5.07
2016-05-01,ADHD,5.29
2016-06-01,ADHD,3.9
2016-07-01,ADHD,2.68
2016-08-01,ADHD,4.41
2016-09-01,ADHD,8.58
2016-10-01,ADHD,4.42
2016-11-01,ADHD,6.99
2016-12-01,ADHD,5.22
2017-01-01,ADHD,7.28
2017-02-01,ADHD,6.53
2017-03-01,ADHD,7.54
2017-04-01,ADHD,5.66
2017-05-01,ADHD,3.85
2017-06-01,ADHD,5.98
2017-07-01,ADHD,3.73
2017-08-01,ADHD,4.74
2017-09-01,ADHD,6.64
2017-10-01,ADHD,9.5
2017-11-01,ADHD,7.23
2017-12-01,ADHD,4.99
2018-01-01,ADHD,6.49
2018-02-01,ADHD,5.06
2018-03-01,ADHD,8.66
2018-04-01,ADHD,6.97
2018-05-01,ADHD,5.25
2018-06-01,ADHD,2.24
2018-07-01,ADHD,4.98
2018-08-01,ADHD,4.62
2018-09-01,ADHD,9.68
2018-10-01,ADHD,9.09
2018-11-01,ADHD,7.4
2018-12-01,ADHD,5.0
2019-01-01,ADHD,7.98
2019-02-01,ADHD,6.61
2019-03-01,ADHD,9.23
2019-04-01,ADHD,5.79
2019-05-01,ADHD,8.01
2019-06-01,ADHD,4.58
2019-07-01,ADHD,3.41
2019-08-01,ADHD,6.77
2019-09-01,ADHD,9.61
2019-10-01,ADHD,7.8
2019-11-01,ADHD,7.36
2019-12-01,ADHD,6.78
2020-01-01,ADHD,6.7
2020-02-01,ADHD,8.33
2020-03-01,ADHD,6.02
2020-04-01,ADHD,5.2
2020-05-01,ADHD,6.02
2020-06-01,ADHD,4.93
2020-07-01,ADHD,5.73
2020-08-01,ADHD,5.04
2020-09-01,ADHD,8.94
2020-10-01,ADHD,6.72
2020-11-01,ADHD,6.41
2020-12-01,ADHD,5.75
2021-01-01,ADHD,8.42
2021-02-01,ADHD,7.71
2021-03-01,ADHD,9.28
2021-04-01,ADHD,7.43
2021-05-01,ADHD,3.87
2015-01-01,Alcoholism,8.63
2015-02-01,Alcoholism,6.78
2015-03-01,Alcoholism,7.45
2015-04-01,Alcoholism,4.36
2015-05-01,Alcoholism,5.84
2015-06-01,Alcoholism,6.96
2015-07-01,Alcoholism,10.37
2015-08-01,Alcoholism,7.07
2015-09-01,Alcoholism,5.32
2015-10-01,Alcoholism,6.84
2015-11-01,Alcoholism,7.96
2015-12-01,Alcoholism,9.21
2016-01-01,Alcoholism,10.66
2016-02-01,Alcoholism,6.5
2016-03-01,Alcoholism,4.63
2016-04-01,Alcoholism,4.76
2016-05-01,Alcoholism,9.02
2016-06-01,Alcoholism,9.09
2016-07-01,Alcoholism,7.03
2016-08-01,Alcoholism,7.46
2016-09-01,Alcoholism,4.95
2016-10-01,Alcoholism,6.62
2016-11-01,Alcoholism,4.45
2016-12-01,Alcoholism,7.07
2017-01-01,Alcoholism,5.82
2017-02-01,Alcoholism,5.28
2017-03-01,Alcoholism,6.7
2017-04-01,Alcoholism,4.76
2017-05-01,Alcoholism,6.23
2017-06-01,Alcoholism,5.67
2017-07-01,Alcoholism,7.46
2017-08-01,Alcoholism,7.99
2017-09-01,Alcoholism,8.15
2017-10-01,Alcoholism,9.5
2017-11-01,Alcoholism,8.97
2017-12-01,Alcoholism,5.87
2018-01-01,Alcoholism,5.41
2018-02-01,Alcoholism,6.54
2018-03-01,Alcoholism,6.49
2018-04-01,Alcoholism,5.58
2018-05-01,Alcoholism,7.18
2018-06-01,Alcoholism,8.97
2018-07-01,Alcoholism,7.47
2018-08-01,Alcoholism,10.6
2018-09-01,Alcoholism,7.47
2018-10-01,Alcoholism,9.63
2018-11-01,Alcoholism,7.95
2018-12-01,Alcoholism,6.39
2019-01-01,Alcoholism,8.78
2019-02-01,Alcoholism,8.92
2019-03-01,Alcoholism,8.17
2019-04-01,Alcoholism,9.92
2019-05-01,Alcoholism,8.01
2019-06-01,Alcoholism,5.39
2019-07-01,Alcoholism,6.81
2019-08-01,Alcoholism,8.07
2019-09-01,Alcoholism,4.94
2019-10-01,Alcoholism,8.04
2019-11-01,Alcoholism,5.33
2019-12-01,Alcoholism,8.04
2020-01-01,Alcoholism,7.42
2020-02-01,Alcoholism,4.65
2020-03-01,Alcoholism,5.38
2020-04-01,Alcoholism,7.8
2020-05-01,Alcoholism,5.8
2020-06-01,Alcoholism,7.17
2020-07-01,Alcoholism,9.4
2020-08-01,Alcoholism,8.03
2020-09-01,Alcoholism,5.14
2020-10-01,Alcoholism,7.18
2020-11-01,Alcoholism,8.31
2020-12-01,Alcoholism,5.51
2021-01-01,Alcoholism,5.85
2021-02-01,Alcoholism,6.69
2021-03-01,Alcoholism,5.88
2021-04-01,Alcoholism,6.47
2021-05-01,Alcoholism,11.62
2015-01-01,Aleppo,0.0
2015-02-01,Aleppo,0.0
2015-03-01,Aleppo,0.0
2015-04-01,Aleppo,0.0
2015-05-01,Aleppo,0.0
2015-06-01,Aleppo,0.0
2015-07-01,Aleppo,0.0
2015-08-01,Aleppo,0.0
2015-09-01,Aleppo,0.0
2015-10-01,Aleppo,0.0
2015-11-01,Aleppo,0.0
2015-12-01,Aleppo,0.0
2016-01-01,Aleppo,0.0
2016-02-01,Aleppo,0.0
2016-03-01,Aleppo,0.0
2016-04-01,Aleppo,0.0
2016-05-01,Aleppo,0.0
2016-06-01,Aleppo,0.0
2016-07-01,Aleppo,0.0
2016-08-01,Aleppo,0.68
2016-09-01,Aleppo,0.99
2016-10-01,Aleppo,1.58
2016-11-01,Aleppo,3.18
2016-12-01,Aleppo,29.49
2017-01-01,Aleppo,0.87
2017-02-01,Aleppo,0.31
2017-03-01,Aleppo,0.84
2017-04-01,Aleppo,0.3
2017-05-01,Aleppo,0.0
2017-06-01,Aleppo,0.31
2017-07-01,Aleppo,0.0
2017-08-01,Aleppo,0.0
2017-09-01,Aleppo,0.0
2017-10-01,Aleppo,0.0
2017-11-01,Aleppo,0.0
2017-12-01,Aleppo,0.0
2018-01-01,Aleppo,0.0
2018-02-01,Aleppo,0.3
2018-03-01,Aleppo,0.0
2018-04-01,Aleppo,0.0
2018-05-01,Aleppo,0.0
2018-06-01,Aleppo,0.0
2018-07-01,Aleppo,0.0
2018-08-01,Aleppo,0.0
2018-09-01,Aleppo,0.0
2018-10-01,Aleppo,0.0
2018-11-01,Aleppo,0.27
2018-12-01,Aleppo,0.0
2019-01-01,Aleppo,0.0
2019-02-01,Aleppo,0.58
2019-03-01,Aleppo,0.0
2019-04-01,Aleppo,0.28
2019-05-01,Aleppo,0.0
2019-06-01,Aleppo,0.0
2019-07-01,Aleppo,0.0
2019-08-01,Aleppo,0.0
2019-09-01,Aleppo,0.26
2019-10-01,Aleppo,0.0
2019-11-01,Aleppo,0.0
2019-12-01,Aleppo,0.0
2020-01-01,Aleppo,0.0
2020-02-01,Aleppo,0.0
2020-03-01,Aleppo,0.0
2020-04-01,Aleppo,0.0
