month,term,value
1/1/15,Addiction,71.82
2/1/15,Addiction,47.67
3/1/15,Addiction,82.47
4/1/15,Addiction,70.44
5/1/15,Addiction,68.13
6/1/15,Addiction,75.94
7/1/15,Addiction,94.9
8/1/15,Addiction,55.22
9/1/15,Addiction,73.72
10/1/15,Addiction,68.13
11/1/15,Addiction,89.64
12/1/15,Addiction,50.77
1/1/16,Addiction,55.84
2/1/16,Addiction,93.09
3/1/16,Addiction,96.17
4/1/16,Addiction,86.75
5/1/16,Addiction,67.31
6/1/16,Addiction,55.8
7/1/16,Addiction,61.74
8/1/16,Addiction,47.48
9/1/16,Addiction,52.51
10/1/16,Addiction,64.24
11/1/16,Addiction,86.95
12/1/16,Addiction,60.6
1/1/17,Addiction,100
2/1/17,Addiction,63.3
3/1/17,Addiction,53.29
4/1/17,Addiction,62.52
5/1/17,Addiction,88.66
6/1/17,Addiction,70.1
7/1/17,Addiction,83.07
8/1/17,Addiction,82.9
9/1/17,Addiction,65.3
10/1/17,Addiction,64.13
11/1/17,Addiction,46.01
12/1/17,Addiction,57.89
1/1/18,Addiction,73.97
2/1/18,Addiction,79.48
3/1/18,Addiction,65.41
4/1/18,Addiction,60.32
5/1/18,Addiction,68.57
6/1/18,Addiction,73.13
7/1/18,Addiction,82.72
8/1/18,Addiction,88.19
9/1/18,Addiction,51.04
10/1/18,Addiction,56.16
11/1/18,Addiction,71.51
12/1/18,Addiction,58.31
1/1/19,Addiction,71.08
2/1/19,Addiction,89.68
3/1/19,Addiction,80.55
4/1/19,Addiction,75.41
5/1/19,Addiction,77.29
6/1/19,Addiction,65.12
7/1/19,Addiction,68.36
8/1/19,Addiction,72.93
9/1/19,Addiction,69.42
10/1/19,Addiction,68.24
11/1/19,Addiction,85.57
12/1/19,Addiction,60.76
1/1/20,Addiction,50.27
2/1/20,Addiction,56.12
3/1/20,Addiction,47.9
4/1/20,Addiction,59.31
5/1/20,Addiction,72.45
6/1/20,Addiction,78.41
7/1/20,Addiction,58.33
8/1/20,Addiction,56.91
9/1/20,Addiction,69.71
10/1/20,Addiction,47.15
11/1/20,Addiction,58.93
12/1/20,Addiction,51.84
1/1/21,Addiction,47.61
2/1/21,Addiction,58.91
3/1/21,Addiction,50.41
4/1/21,Addiction,62.5
5/1/21,Addiction,0
1/1/15,ADHD,48.01
2/1/15,ADHD,36.86
3/1/15,ADHD,46.86
4/1/15,ADHD,62.38
5/1/15,ADHD,46.93
6/1/15,ADHD,34.25
7/1/15,ADHD,50.24
8/1/15,ADHD,29.88
9/1/15,ADHD,61.46
10/1/15,ADHD,49.16
11/1/15,ADHD,56.95
12/1/15,ADHD,66.57
1/1/16,ADHD,48.57
2/1/16,ADHD,50.38
3/1/16,ADHD,57.35
4/1/16,ADHD,52.41
5/1/16,ADHD,54.64
6/1/16,ADHD,40.27
7/1/16,ADHD,27.65
8/1/16,ADHD,45.55
9/1/16,ADHD,88.65
10/1/16,ADHD,45.63
11/1/16,ADHD,72.23
12/1/16,ADHD,53.95
1/1/17,ADHD,75.16
2/1/17,ADHD,67.44
3/1/17,ADHD,77.87
4/1/17,ADHD,58.44
5/1/17,ADHD,39.81
6/1/17,ADHD,61.78
7/1/17,ADHD,38.53
8/1/17,ADHD,48.94
9/1/17,ADHD,68.6
10/1/17,ADHD,98.17
11/1/17,ADHD,74.7
12/1/17,ADHD,51.54
1/1/18,ADHD,67.03
2/1/18,ADHD,52.23
3/1/18,ADHD,89.43
4/1/18,ADHD,72.01
5/1/18,ADHD,54.23
6/1/18,ADHD,23.17
7/1/18,ADHD,51.43
8/1/18,ADHD,47.73
9/1/18,ADHD,100
10/1/18,ADHD,93.94
11/1/18,ADHD,76.46
12/1/18,ADHD,51.64
1/1/19,ADHD,82.42
2/1/19,ADHD,68.34
3/1/19,ADHD,95.35
4/1/19,ADHD,59.79
5/1/19,ADHD,82.76
6/1/19,ADHD,47.3
7/1/19,ADHD,35.19
8/1/19,ADHD,69.96
9/1/19,ADHD,99.29
10/1/19,ADHD,80.57
11/1/19,ADHD,76.02
12/1/19,ADHD,70.09
1/1/20,ADHD,69.25
2/1/20,ADHD,86.04
3/1/20,ADHD,62.21
4/1/20,ADHD,53.75
5/1/20,ADHD,62.14
6/1/20,ADHD,50.92
7/1/20,ADHD,59.19
8/1/20,ADHD,52.12
9/1/20,ADHD,92.39
10/1/20,ADHD,69.38
11/1/20,ADHD,66.24
12/1/20,ADHD,59.41
1/1/21,ADHD,86.96
2/1/21,ADHD,79.7
3/1/21,ADHD,95.87
4/1/21,ADHD,76.72
5/1/21,ADHD,40.01
1/1/15,Alcoholism,74.28
2/1/15,Alcoholism,58.34
3/1/15,Alcoholism,64.14
4/1/15,Alcoholism,37.53
5/1/15,Alcoholism,50.27
6/1/15,Alcoholism,59.91
7/1/15,Alcoholism,89.29
8/1/15,Alcoholism,60.85
9/1/15,Alcoholism,45.81
10/1/15,Alcoholism,58.87
11/1/15,Alcoholism,68.53
12/1/15,Alcoholism,79.23
1/1/16,Alcoholism,91.72
2/1/16,Alcoholism,55.96
3/1/16,Alcoholism,39.82
4/1/16,Alcoholism,40.93
5/1/16,Alcoholism,77.65
6/1/16,Alcoholism,78.27
7/1/16,Alcoholism,60.47
8/1/16,Alcoholism,64.22
9/1/16,Alcoholism,42.61
10/1/16,Alcoholism,57.02
11/1/16,Alcoholism,38.29
12/1/16,Alcoholism,60.81
1/1/17,Alcoholism,50.09
2/1/17,Alcoholism,45.48
3/1/17,Alcoholism,57.66
4/1/17,Alcoholism,41
5/1/17,Alcoholism,53.58
6/1/17,Alcoholism,48.76
7/1/17,Alcoholism,64.2
8/1/17,Alcoholism,68.8
9/1/17,Alcoholism,70.14
10/1/17,Alcoholism,81.78
11/1/17,Alcoholism,77.17
12/1/17,Alcoholism,50.51
1/1/18,Alcoholism,46.53
2/1/18,Alcoholism,56.31
3/1/18,Alcoholism,55.88
4/1/18,Alcoholism,47.99
5/1/18,Alcoholism,61.83
6/1/18,Alcoholism,77.2
7/1/18,Alcoholism,64.27
8/1/18,Alcoholism,91.22
9/1/18,Alcoholism,64.27
10/1/18,Alcoholism,82.87
11/1/18,Alcoholism,68.42
12/1/18,Alcoholism,54.97
1/1/19,Alcoholism,75.53
2/1/19,Alcoholism,76.74
3/1/19,Alcoholism,70.36
4/1/19,Alcoholism,85.4
5/1/19,Alcoholism,68.95
6/1/19,Alcoholism,46.36
7/1/19,Alcoholism,58.63
8/1/19,Alcoholism,69.49
9/1/19,Alcoholism,42.48
10/1/19,Alcoholism,69.22
11/1/19,Alcoholism,45.86
12/1/19,Alcoholism,69.21
1/1/20,Alcoholism,63.88
2/1/20,Alcoholism,40.06
3/1/20,Alcoholism,46.27
4/1/20,Alcoholism,67.16
5/1/20,Alcoholism,49.92
6/1/20,Alcoholism,61.71
7/1/20,Alcoholism,80.87
8/1/20,Alcoholism,69.07
9/1/20,Alcoholism,44.26
10/1/20,Alcoholism,61.79
11/1/20,Alcoholism,71.53
12/1/20,Alcoholism,47.44
1/1/21,Alcoholism,50.31
2/1/21,Alcoholism,57.54
3/1/21,Alcoholism,50.65
4/1/21,Alcoholism,55.67
5/1/21,Alcoholism,100
1/1/15,Aleppo,0
2/1/15,Aleppo,0
3/1/15,Aleppo,0
4/1/15,Aleppo,0
5/1/15,Aleppo,0
6/1/15,Aleppo,0
7/1/15,Aleppo,0
8/1/15,Aleppo,0
9/1/15,Aleppo,0
10/1/15,Aleppo,0
11/1/15,Aleppo,0
12/1/15,Aleppo,0
1/1/16,Aleppo,0
2/1/16,Aleppo,0
3/1/16,Aleppo,0
4/1/16,Aleppo,0
5/1/16,Aleppo,0
6/1/16,Aleppo,0
7/1/16,Aleppo,0
8/1/16,Aleppo,2.3
9/1/16,Aleppo,3.36
10/1/16,Aleppo,5.35
11/1/16,Aleppo,10.78
12/1/16,Aleppo,100
1/1/17,Aleppo,2.96
2/1/17,Aleppo,1.05
3/1/17,Aleppo,2.84
4/1/17,Aleppo,1.01
5/1/17,Aleppo,0
6/1/17,Aleppo,1.07
7/1/17,Aleppo,0
8/1/17,Aleppo,0
9/1/17,Aleppo,0
10/1/17,Aleppo,0
11/1/17,Aleppo,0
12/1/17,Aleppo,0
1/1/18,Aleppo,0
2/1/18,Aleppo,1.01
3/1/18,Aleppo,0
4/1/18,Aleppo,0
5/1/18,Aleppo,0
6/1/18,Aleppo,0
7/1/18,Aleppo,0
8/1/18,Aleppo,0
9/1/18,Aleppo,0
10/1/18,Aleppo,0
11/1/18,Aleppo,0.93
12/1/18,Aleppo,0
1/1/19,Aleppo,0
2/1/19,Aleppo,1.95
3/1/19,Aleppo,0
4/1/19,Aleppo,0.93
5/1/19,Aleppo,0
6/1/19,Aleppo,0
7/1/19,Aleppo,0
8/1/19,Aleppo,0
9/1/19,Aleppo,0.88
10/1/19,Aleppo,0
11/1/19,Aleppo,0
12/1/19,Aleppo,0
1/1/20,Aleppo,0
2/1/20,Aleppo,0
3/1/20,Aleppo,0
4/1/20,Aleppo,0
5/1/20,Aleppo,0
6/1/20,Aleppo,0
7/1/20,Aleppo,0
8/1/20,Aleppo,0
9/1/20,Aleppo,0
10/1/20,Aleppo,0
11/1/20,Aleppo,0
12/1/20,Aleppo,0
1/1/21,Aleppo,0
