term,category
Addiction,mental health
ADHD,mental health
Alcoholism,mental health
Aleppo,location
Amazon rainforest,location
Anger management,mental health
Anorexia,mental health
Anxiety,mental health
Australia fires,location
Bahamas,location
Bees,climate
Beirut,location
Bipolar,mental health
Black Lives Matter,social problem
BPD,mental health
Breakup,mental health
Bulimia,mental health
Cancer,health
Climate change,climate
Coronavirus,health
Depression,mental health
Eating disorder,mental health
Flint Michigan,location
Flood,natural disaster
Fort McMurray,location
Grief,mental health
Haiti,location
Hoarding,mental health
Homelessness,social problem
Houston,location
Hurricane Harvey,natural disaster
India,location
Kerala,location
Las Vegas,location
Louisiana,location
Mental illness,mental health
Migrant children,social problem
Narcissism,mental health
Nepal,location
OCD,mental health
Orlando,location
Palestine,location
Panic attack,mental health
Paris,location
Poverty,social problem
PTSD,mental health
Puerto Rico,location
Quitting smoking,health
Rape,mental health
Refugee,social problem
Schizophrenia,mental health
Seizure,health
Self harm,mental health
Self-esteem,mental health
"Shortness of breath, covid",health
Standing Rock,location
Sudan,location
Suicidal ideation,mental health
Syria,location
Texas,location
Wildfire,natural disaster
Yemen,location
