month,term,value
2015-01-01,Addiction,71.82
2015-02-01,Addiction,47.67
2015-03-01,Addiction,82.47
2015-04-01,Addiction,70.44
2015-05-01,Addiction,68.13
2015-06-01,Addiction,75.94
2015-07-01,Addiction,94.9
2015-08-01,Addiction,55.22
2015-09-01,Addiction,73.72
2015-10-01,Addiction,68.13
2015-11-01,Addiction,89.64
2015-12-01,Addiction,50.77
2016-01-01,Addiction,55.84
2016-02-01,Addiction,93.09
2016-03-01,Addiction,96.17
2016-04-01,Addiction,86.75
2016-05-01,Addiction,67.31
2016-06-01,Addiction,55.8
2016-07-01,Addiction,61.74
2016-08-01,Addiction,47.48
2016-09-01,Addiction,52.51
2016-10-01,Addiction,64.24
2016-11-01,Addiction,86.95
2016-12-01,Addiction,60.6
2017-01-01,Addiction,100.0
2017-02-01,Addiction,63.3
2017-03-01,Addiction,53.29
2017-04-01,Addiction,62.52
2017-05-01,Addiction,88.66
2017-06-01,Addiction,70.1
2017-07-01,Addiction,83.07
2017-08-01,Addiction,82.9
2017-09-01,Addiction,65.3
2017-10-01,Addiction,64.13
2017-11-01,Addiction,46.01
2017-12-01,Addiction,57.89
2018-01-01,Addiction,73.97
2018-02-01,Addiction,79.48
2018-03-01,Addiction,65.41
2018-04-01,Addiction,60.32
2018-05-01,Addiction,68.57
2018-06-01,Addiction,73.13
2018-07-01,Addiction,82.72
2018-08-01,Addiction,88.19
2018-09-01,Addiction,51.04
2018-10-01,Addiction,56.16
2018-11-01,Addiction,71.51
2018-12-01,Addiction,58.31
2019-01-01,Addiction,71.08
2019-02-01,Addiction,89.68
2019-03-01,Addiction,80.55
2019-04-01,Addiction,75.41
2019-05-01,Addiction,77.29
2019-06-01,Addiction,65.12
2019-07-01,Addiction,68.36
2019-08-01,Addiction,72.93
2019-09-01,Addiction,69.42
2019-10-01,Addiction,68.24
2019-11-01,Addiction,85.57
2019-12-01,Addiction,60.76
2020-01-01,Addiction,50.27
2020-02-01,Addiction,56.12
2020-03-01,Addiction,47.9
2020-04-01,Addiction,59.31
2020-05-01,Addiction,72.45
2020-06-01,Addiction,78.41
2020-07-01,Addiction,58.33
2020-08-01,Addiction,56.91
2020-09-01,Addiction,69.71
2020-10-01,Addiction,47.15
2020-11-01,Addiction,58.93
2020-12-01,Addiction,51.84
2021-01-01,Addiction,47.61
2021-02-01,Addiction,58.91
2021-03-01,Addiction,50.41
2021-04-01,Addiction,62.5
2021-05-01,Addiction,0.0
2015-01-01,ADHD,48.01
2015-02-01,ADHD,36.86
2015-03-01,ADHD,46.86
2015-04-01,ADHD,62.38
2015-05-01,ADHD,46.93
2015-06-01,ADHD,34.25
2015-07-01,ADHD,50.24
2015-08-01,ADHD,29.88
2015-09-01,ADHD,61.46
2015-10-01,ADHD,49.16
2015-11-01,ADHD,56.95
2015-12-01,ADHD,66.57
2016-01-01,ADHD,48.57
2016-02-01,ADHD,50.38
2016-03-01,ADHD,57.35
2016-04-01,ADHD,52.41
2016-05-01,ADHD,54.64
2016-06-01,ADHD,40.27
2016-07-01,ADHD,27.65
2016-08-01,ADHD,45.55
2016-09-01,ADHD,88.65
2016-10-01,ADHD,45.63
2016-11-01,ADHD,72.23
2016-12-01,ADHD,53.95
2017-01-01,ADHD,75.16
2017-02-01,ADHD,67.44
2017-03-01,ADHD,77.87
2017-04-01,ADHD,58.44
2017-05-01,ADHD,39.81
2017-06-01,ADHD,61.78
2017-07-01,ADHD,38.53
2017-08-01,ADHD,48.94
2017-09-01,ADHD,68.6
2017-10-01,ADHD,98.17
2017-11-01,ADHD,74.7
2017-12-01,ADHD,51.54
2018-01-01,ADHD,67.03
2018-02-01,ADHD,52.23
2018-03-01,ADHD,89.43
2018-04-01,ADHD,72.01
2018-05-01,ADHD,54.23
2018-06-01,ADHD,23.17
2018-07-01,ADHD,51.43
2018-08-01,ADHD,47.73
2018-09-01,ADHD,100.0
2018-10-01,ADHD,93.94
2018-11-01,ADHD,76.46
2018-12-01,ADHD,51.64
2019-01-01,ADHD,82.42
2019-02-01,ADHD,68.34
2019-03-01,ADHD,95.35
2019-04-01,ADHD,59.79
2019-05-01,ADHD,82.76
2019-06-01,ADHD,47.3
2019-07-01,ADHD,35.19
2019-08-01,ADHD,69.96
2019-09-01,ADHD,99.29
2019-10-01,ADHD,80.57
2019-11-01,ADHD,76.02
2019-12-01,ADHD,70.09
2020-01-01,ADHD,69.25
2020-02-01,ADHD,86.04
2020-03-01,ADHD,62.21
2020-04-01,ADHD,53.75
2020-05-01,ADHD,62.14
2020-06-01,ADHD,50.92
2020-07-01,ADHD,59.19
2020-08-01,ADHD,52.12
2020-09-01,ADHD,92.39
2020-10-01,ADHD,69.38
2020-11-01,ADHD,66.24
2020-12-01,ADHD,59.41
2021-01-01,ADHD,86.96
2021-02-01,ADHD,79.7
2021-03-01,ADHD,95.87
2021-04-01,ADHD,76.72
2021-05-01,ADHD,40.01
2015-01-01,Alcoholism,74.28
2015-02-01,Alcoholism,58.34
2015-03-01,Alcoholism,64.14
2015-04-01,Alcoholism,37.53
2015-05-01,Alcoholism,50.27
